Ligand,Docking Score from Ensemble Docking (kcal/mol),Standard Deviation,SMILES,Docking Score from AutoGrow4 (kcal/mol),Molecular Weight,QED,Name,Origins,
ligand_19,-7.25657,0.406801,C[C@H]1CCN(C(=O)C2=CCOC2)N1c1cccc([N-]C(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-9.4,348.9205369,0.704,(Gen_4_Mutant_7_725775+Gen_4_Cross_2774)Gen_5_Cross_892417,Gen_5_Cross_892417,Gen_5_Cross_892417__1
ligand_20,-7.44747,0.601739,C[C@@]1(C(=O)NC2=CC/C(=N\C(=O)C3CCC3)[C@@]3(O)CCCC[C@@H]23)Cc2ccccc2C(=O)O1,-9.4,343.4854299,0.693,(Gen_4_Mutant_26_239658+Gen_4_Cross_395690)Gen_5_Cross_842637,Gen_5_Cross_842637,Gen_5_Cross_842637__1
ligand_21,-7.52323,0.360086,C[C@]1(C(=O)/N=C2\CC=C[C@]3(n4cnn[nH+]4)C=CC=C[C@@]23C#N)Cc2ccccc2C(=O)O1,-9.4,344.895262,0.674,(Gen_3_Cross_584222)Gen_5_Mutant_21_210327,Gen_5_Mutant_21_210327,Gen_5_Mutant_21_210327__1
ligand_22,-7.11111,0.438291,CC[C@H](C)C(=O)N1CC[C@H](C)[N@@H+]1c1cccc(NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-9.4,353.7870441,0.693,(Gen_2_Mutant_26_520459+Gen_2_Mutant_73_150530)Gen_3_Cross_237395,Gen_3_Cross_237395,Gen_3_Cross_237395__5
ligand_23,-6.97778,0.454285,C[C@@]1(C(=O)NC2=CC=C([NH3+])[C@@]3(O)CCCC[C@@]23C#N)Cc2ccccc2C(=O)O1,-9.4,365.3775603,0.71,(Gen_2_Cross_618529+Gen_2_Mutant_23_561535)Gen_3_Cross_668776,Gen_3_Cross_668776,Gen_3_Cross_668776__2
ligand_24,-7.57576,0.409506,C[C@@H]1CCN([C@@H]2C=CS(=O)(=O)C2)N1c1cccc(N/C(O)=C/[C@H]2OC(=O)c3ccccc32)c1,-9.3,332.3578851,0.675,(Gen_2_Cross_54563+Gen_4_Mutant_26_908457)Gen_5_Cross_324019,Gen_5_Cross_324019,Gen_5_Cross_324019__2
ligand_25,-7.7404,0.400484,C[C@H]1CCN(C(=O)C2=CCOC2)N1c1cccc(NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-9.2,350.204187,0.704,(Gen_3_Cross_379998+Gen_4_Cross_848905)Gen_5_Cross_793142,Gen_5_Cross_793142,Gen_5_Cross_793142__1
ligand_26,-7.68384,0.420607,C[C@]1(C(=O)NC2=CC=C[C@]3(n4cnn[nH+]4)C=CC=C[C@@]23C#N)Cc2ccccc2C(=O)O1,-9.1,338.0975837,0.674,(Gen_4_Cross_484839)Gen_5_Mutant_21_212468,Gen_5_Mutant_21_212468,Gen_5_Mutant_21_212468__1
ligand_27,-7.44646,0.487275,C[C@@H]1CCN([C@@H]2C=CS(=O)(=O)C2)N1c1cccc(NC(=O)C[C@@H]2OC(=O)c3ccccc32)c1,-8.8,334.1452539,0.675,(Gen_2_Cross_54563+Gen_4_Mutant_16_158478)Gen_5_Cross_123105,Gen_5_Cross_123105,Gen_5_Cross_123105__1
ligand_28,-6.96566,0.397508,C[C@H](C#N)[C@@H]1C[C@H]2CCCC[C@@H]2C[C@H]1/N=C(/O)[C@H]1Cc2ccccc2C(=O)O1,-8.5,356.9123185,0.812,(Gen_4_Mutant_69_425605+Gen_2_Mutant_69_164908)Gen_5_Cross_910310,Gen_5_Cross_910310,Gen_5_Cross_910310__2
ligand_29,-7.55859,0.398231,C[C@H]1CC[C@H]2C(=O)O[C@@](C)(C(=O)Nc3cccc(-n4c[nH+]n[nH+]4)c3)C[C@@]2(N)C1,-8.3,292.4523694,0.767,(Gen_4_Cross_941487+Gen_4_Cross_47072)Gen_5_Cross_881569,Gen_5_Cross_881569,Gen_5_Cross_881569__5
ligand_30,-6.81515,0.421485,Cc1ccnn1-c1cccc(NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1Cl,-8.2,350.0835406,0.681,(Gen_3_Cross_324021+Gen_4_Cross_243312)Gen_5_Cross_30368,Gen_5_Cross_30368,Gen_5_Cross_30368__1
ligand_31,-6.52525,0.352292,Cc1[nH+]nc(-c2cc[nH+]c(SC(=O)c3ccccc3C)c2)o1,-8.1,295.84033,0.687,(Gen_4_Cross_142221+ZINC001253444296)Gen_5_Mutant_25_628532,Gen_5_Mutant_25_628532,Gen_5_Mutant_25_628532__2
ligand_32,-5.72222,0.369153,Cc1ccccc1C(=O)N1CC(=O)[N-]CC1=O,-8.1,347.3305107,0.698,(Gen_4_Mutant_7_455240+ZINC000001529518)Gen_5_Mutant_23_398571,Gen_5_Mutant_23_398571,Gen_5_Mutant_23_398571__2
ligand_33,-7.1,0.362929,Cc1ccnn1-c1cccc([N-]C(=O)[C@@]2(C)Cc3ccccc3C(=O)O2)c1Cl,-8,354.8205601,0.681,(Gen_2_Cross_768948+Gen_4_Cross_580475)Gen_5_Cross_260945,Gen_5_Cross_260945,Gen_5_Cross_260945__4
ligand_34,-6.30909,0.40078,Cc1ccccc1C(=O)N1NN[NH2+][C@H]1C(C)C,-8,317.639181,0.713,(Gen_3_Mutant_3_837748+ZINC000005458707)Gen_5_Mutant_23_393119,Gen_5_Mutant_23_393119,Gen_5_Mutant_23_393119__1
