SMILES,Run,Ligand,gasa,QED,caco2,MDCK,PPB,logVDss,Fu,LM-human,cl-plasma,DILI,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549
C[C@@H]1CC[C@H]2C(=O)O[C@](C)([C@@H]3[N-]C(=O)[C@@H]4C[C@@H](c5cccc(F)c5)CC[C@@H]4[NH2+]3)C[C@@H]2C1,2,ligand_16,1,0.702,-5.201605136,-4.56958826,87.19065264,-0.08308471275,9.799880722,0.0205861032,5.425557871,0.3851051927,0.9946158528,0.9288035631,0.09582891315,0.8112303615
C[C@@]1(C(=O)N=C2C=CC[C@]3(n4cnnn4)C=CC=C[C@@]23C#N)Cc2ccccc2C(=O)O1,2,ligand_17,1,0.674,-4.949367427,-4.614264973,91.16736249,-0.2857802994,7.22671591,0.8460229635,2.454410028,0.4503752291,0.6598294973,0.1816254109,0.04504327476,0.04477226734
C=C1CCC[C@@H]2C[C@@H](/C(O)=N\[C@@H]3C[C@](N)(n4c[nH+]n[nH+]4)Cc4ccccc43)OC(=O)[C@H]12,2,ligand_21,1,0.336,-5.592141918,-5.064739656,86.54085885,-0.1565291373,13.56376873,1.96E-05,4.31792753,0.9889944196,0.953230083,0.9374548793,0.5754763484,0.165435344
C=c1cc(C)c2c(c1)C[C@](C)([C@H]1NCC[C@H]3CC[C@@H](c4cc(F)cc(F)c4C#N)C[C@H]31)OC=2C#N,2,ligand_23,1,0.714,-5.206626726,-4.792284315,98.0778855,0.3697161016,1.590039505,0.09037604928,5.428820242,0.9491714239,0.9573762417,0.6642356515,0.2521875799,0.2865498662
C[C@@]1(C(=O)[N-][C@@H]2CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,2,ligand_24,0,0.782,-4.894879979,-4.575010165,91.82718636,-0.07746349943,8.59397231,0.971416533,2.183632358,0.7207966447,0.6502065659,0.2199568301,0.1125582531,0.2578707933
C=c1ccc2c(c1)C[C@](C)([C@H]1[NH2+]CC[C@H]3CC[C@@H](c4cc(F)cc(F)c4C#N)C[C@H]31)OC=2C#N,2,ligand_26,1,0.742,-5.122859199,-4.727596402,97.28075908,0.3558979382,2.416905466,0.7639995217,5.180189072,0.9048321843,0.9476491213,0.6461388469,0.1955755949,0.2522799075
C=c1ccc2c(c1)C[C@](C)(C(=O)[N-][C@@H]1CCC[C@@]3(n4c[nH+]n[nH+]4)CCCC[C@H]13)OC=2O,2,ligand_27,1,0.771,-5.239916989,-4.954851119,96.71229638,0.06747452317,3.786736175,0.2094140053,1.059998275,0.8305158615,0.7098904252,0.2971520722,0.3120013177,0.1961325705
C=c1cc(C)c2c(c1)C[C@@](C)(C(=O)N[C@@H]1CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@@H]13)OC=2C#N,2,ligand_29,1,0.768,-4.905736936,-4.649171477,97.22407119,-0.005247120078,3.016736744,0.2405891418,4.524884621,0.9410352111,0.4787244499,0.1796387732,0.1872090846,0.1133016795
C=C1[C@H](F)C[C@H](F)[C@H](C#N)[C@@H]1c1ccc2c(c1)[C@H]([C@]1(C)Cc3cc(=C)ccc3=C(C#N)O1)NCC2,2,ligand_31,1,0.677,-5.005748476,-4.725091445,93.75227695,0.087918282,6.160537164,0.7170243263,5.811782526,0.9551553726,0.5513319373,0.8446143866,0.07747577876,0.6575327516
Cc1ccc2c(c1)C[C@](C)([C@@H]1NC(=O)[C@H]3C[C@@H](c4cccc(F)c4)CC[C@H]3N1)OC2=O,2,ligand_33,1,0.726,-4.945254661,-4.761253115,93.79978221,0.1486821946,4.995089647,0.2213879526,3.422155542,0.3165754676,0.9784564972,0.8100000024,0.1231886968,0.3102112114
