SMILES,Run,Ligand,gasa,QED,caco2,MDCK,PPB,logVDss,Fu,LM-human,cl-plasma,DILI,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549
O=C1O[C@@H](/C(O)=N/[C@H]2CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@@H]23)Cc2ccccc21,4,ligand_62,1,0.487,-4.676442033,-4.633658405,92.89323532,-0.3317725459,8.232062545,0.07280898839,2.309435252,0.977789104,0.8103772402,0.2088368386,0.1866114736,0.0167007558
C[C@]1(C(=O)Nc2c(Cl)ccc3c2CCCC3)Cc2ccccc2C(=O)O1,4,ligand_76,0,0.801,-4.609904297,-4.846593432,98.62483692,0.2953374496,0.9125084675,0.9947453737,4.190995669,0.9298165441,0.8643981218,0.8008244634,0.3536729813,0.2867443264
Cc1cc[nH+]n1-c1ccc(Cl)c([N-]C(=O)[C@@]2(C)C[C@H]3CCCC[C@@H]3C(=O)O2)c1,4,ligand_77,0,0.779,-4.705597577,-4.770231836,97.18549317,0.2738550602,2.101854013,0.9830371737,3.478876546,0.9429653287,0.9512542486,0.3371621668,0.6394842863,0.143307671
C[C@@]12CCCC[C@@H]1C[C@H](n1c[nH+]n[nH+]1)C[C@H]2Nc1cc(F)c(F)c(F)c1,4,ligand_79,1,0.832,-4.860882835,-4.677440539,97.9283563,0.275856766,1.564085153,0.01191953104,8.036422615,0.978675127,0.9952586293,0.9747523665,0.6890325546,0.554305613
C=c1ccc2c(c1)C[C@](C)(/C(O)=N\[C@@H]1C[C@@H](n3[nH+]ccc3C)C[C@H]3CCCC[C@]31C#N)OC=2O,5,ligand_1,1,0.538,-5.057703975,-4.724867179,89.04157649,0.01064300621,8.999236758,7.25E-05,0.8105235296,0.9976478219,0.9758734107,0.01989281178,0.4286906421,0.01716750301
[H]/N=c1\c(C)c[nH]n1[C@H]1CC[C@@H]2NC[C@H](C3=CCN(C(=O)c4ccccc4)CC3)[C@H]2C1,5,ligand_2,1,0.687,-5.247204662,-5.013669088,66.07593284,0.2194607262,24.56952501,0.0066419621,6.10656907,0.9986897111,0.9864034653,0.9125632644,0.6817333102,0.02014009282
C=c1ccc2c(c1)C[C@](C)(C(=O)/N=C(\O)OCc1ccccc1C(=O)[C@@H]1CCOC1)OC=2C#N,5,ligand_5,1,0.411,-5.326148211,-4.749384198,95.55384974,0.06643476585,4.12258589,0.02747920156,1.875963717,0.9987744689,0.699788332,0.8128232956,0.05296747759,0.02260503545
C[C@@]1(C(=O)N[C@H]2CCC[C@]3(n4cnnn4)CCCC[C@]23C#N)Cc2ccccc2C(=O)O1,5,ligand_6,0,0.735,-4.743082401,-4.543273034,86.58144437,0.005283848314,11.58785567,0.802559495,2.414561576,0.5943481922,0.5323477387,0.2468123883,0.02226536348,0.0259080939
C=c1ccc2c(c1)C[C@](C)(C(=O)NC(=O)OCc1ccccc1C#N)OC=2O,5,ligand_8,0,0.835,-4.958060672,-4.685740476,97.33401406,-0.4558291024,2.680992606,0.2299781144,0.5309454106,0.8513573408,0.9425196648,0.794722259,0.262042582,0.107947655
Cc1cc[nH+]n1[C@@]12CCCC[C@H]1CC[C@H](NC(=O)[C@]1(C)C[C@@H]3CCC[C@@H](N)[C@H]3C(=O)O1)C2,5,ligand_9,1,0.701,-5.474122535,-5.00609082,52.71531133,0.2765634706,44.48670123,0.001251662499,4.002526886,0.4044500887,0.9840372801,0.772408247,0.2732151747,0.1840668768
Cc1ccc2c(c1)C[C@@](C)(C(=O)[N-][C@H]1CCC[C@]3(n4[nH+]ccc4C)CCCC[C@H]13)OC2=O,5,ligand_12,1,0.733,-4.705498679,-4.730601781,97.58490881,-0.05768619058,2.023870122,0.9930742979,2.488944523,0.6320944428,0.7189769149,0.3552739024,0.09580765665,0.1414106041
C=C1CCC[C@H]2C[C@](C)(C(=O)Nc3cc(-n4cn[nH+]n4)c(Cl)cc3Cl)OC(=O)[C@@H]12,5,ligand_13,1,0.583,-5.175760584,-4.974835184,97.86789055,-0.3407460386,2.005481172,0.1940947175,4.450986062,0.9886754751,0.950237155,0.895075202,0.4375588,0.3802549243
C=C1CCC[C@H]2C[C@@H](/C(O)=N\c3ccc(-n4cn[nH+]n4)c4ccccc34)OC(=O)[C@H]12,5,ligand_14,1,0.31,-5.40056251,-5.0106658,97.35500294,-0.4565552312,2.260778393,0.8847285509,2.459846826,0.9998062253,0.9654350281,0.929253757,0.8119823337,0.0381121859
C=c1ccc2c(c1)C[C@](C)(/C(O)=N\C(=O)OCc1ccccc1C#N)OC=2O,5,ligand_19,0,0.626,-5.045841896,-4.707810259,97.39461912,-0.3905630604,2.097592437,0.06826055795,0.2956353169,0.9884898067,0.8899318576,0.16675964,0.2492323965,0.06165539473
O=C1O[C@@H]([C@H]2NCCc3ccc(O[C@H]4CCC45C[NH2+]C5)cc32)Cc2ccccc21,5,ligand_20,1,0.79,-5.016439706,-4.812038151,54.51055229,0.3235738618,44.68257143,0.999391675,5.84755518,0.4041302204,0.92985636,0.7517021298,0.2578602135,0.05856546387
Cc1cc[nH+]n1[C@@]12CCCC[C@H]1CC[C@H]([N-]C(=O)[C@]1(C)Cc3ccccc3C(=O)O1)C2,5,ligand_21,1,0.763,-5.064804411,-4.761244883,91.026666,-0.08814623509,9.567275984,0.7736052871,3.297547759,0.7859843373,0.9373946786,0.3997749388,0.2411829382,0.208209306
Cc1cc[nH+]n1[C@@]12CCCC[C@@H]1CC[C@H]([NH2+]C(=O)C[C@H]1OC(=O)c3ccccc31)C2,5,ligand_23,1,0.776,-5.092780049,-4.723824933,96.5131773,-0.3231958074,3.339238069,0.9978118539,4.892122293,0.8139056563,0.9085521102,0.6842854619,0.06412382424,0.1356629133
Cc1ccc2c(c1)C[C@@](C)(C(=O)N[C@H]1CCC[C@@]3(n4[nH+]ccc4C)CCCC[C@@H]13)OC2=O,5,ligand_25,1,0.733,-4.743062344,-4.751608803,93.41333703,-0.01484153308,5.692550299,0.9152974486,2.411778082,0.423152864,0.8673020601,0.0511934869,0.2003713995,0.1073271036
C=c1ccc2c(c1)C[C@](C)(C(=O)NC(=O)OCc1ccccc1Cl)OC=2O,5,ligand_27,0,0.843,-5.009023117,-4.789129753,98.19709724,-0.4691427189,1.787294959,0.9511125088,0.4849612121,0.8928582668,0.7723980546,0.8182696104,0.3492313325,0.1655354649
O=C1O[C@H](C/C([O-])=N\[C@H]2CCC[C@]3(n4cn[nH+]n4)CCCC[C@@H]23)c2ccccc21,5,ligand_29,1,0.484,-4.849808759,-4.626722598,95.89239828,-0.2948660544,3.64068649,0.06754025072,5.319884088,0.997499764,0.896194756,0.6369898319,0.557413578,0.3292413354
Cc1cc[nH+]n1[C@@]12CCCC[C@@H]1CC[C@@H](N/C(O)=C/[C@H]1OC(=O)c3ccccc31)C2,5,ligand_34,1,0.575,-5.07087528,-4.68230469,95.55957458,-0.5611996198,3.676128144,0.9368515611,2.704501828,0.917157352,0.9894809723,0.4835341573,0.2192491442,0.09839106351
C=c1ccc2c(c1)[C@H](CC(=O)[NH2+][C@H]1CC[C@H]3CCCC[C@@]3(n3nccc3C)C1)OC=2O,5,ligand_35,1,0.796,-5.265334837,-4.951674557,82.70207677,-0.1634816862,13.62889468,0.980178535,2.981448242,0.9487220645,0.9793717265,0.5200045109,0.5181695223,0.2055896521
CC1=CCC[C@@H]2C[C@@H]([C@H]3NCCc4ccc(-c5ccc(C#N)cc5C)cc43)OC(=O)[C@H]12,5,ligand_38,1,0.556,-5.426071267,-4.734239397,98.27020675,0.302330188,1.234639434,0.9996950626,5.571120229,0.9158076048,0.9654971361,0.7957654595,0.4004485011,0.6983577609
[H]/N=C1\C/C(=N\c2cc(-n3[nH+]ccc3C)cc3ccccc23)N=C2C=CN=C21,5,ligand_41,1,0.737,-4.667907027,-4.432272352,98.13566629,0.1838356873,1.725732149,0.9870640039,3.572799148,0.9986568689,0.999127686,0.624900043,0.9801196456,0.01042489894
C[C@@H]1CC[C@@H]2C(=O)O[C@@](C)(C(=O)Nc3cccc(-n4cnnn4)c3)C[C@@H]2C1,5,ligand_47,1,0.834,-4.92070945,-4.721536425,91.78403195,-0.2092431879,6.817810183,0.8413997889,3.251233285,0.9265272021,0.9675279856,0.5702443719,0.3815997839,0.3123167455
Cc1cc[nH+]n1[C@H]1C[C@H](Nc2cccn3n[nH+]nc23)[C@@]2(Cl)C=CC=C[C@]2(C)C1,5,ligand_48,1,0.686,-5.005918688,-4.64288754,90.77902174,-0.2096229576,9.325210429,0.8394475579,5.551441984,0.8207898736,0.8484892845,0.8175436854,0.2160199136,0.07810943574
c1cc(N[C@@H]2CCC[C@]3(n4c[nH+]nn4)CCCC[C@H]23)c2[nH+]nnn2c1,5,ligand_49,0,0.774,-4.752992961,-4.803625754,85.2852499,-0.3480336981,13.9817117,0.2085435241,5.215319323,0.8815140128,0.63513273,0.5934446454,0.4267532825,0.2359956205
