Ligand,Docking Score from Ensemble Docking (kcal/mol),Standard Deviation,SMILES,Docking Score from AutoGrow4 (kcal/mol),Molecular Weight,QED,Name,Origins,
ligand_1,-7.16061,0.435732,C=c1ccc2c(c1)C[C@](C)(/C(O)=N\[C@@H]1C[C@@H](n3[nH+]ccc3C)C[C@H]3CCCC[C@]31C#N)OC=2O,-9.9,299.354269,0.692,(Gen_4_Cross_348915+Gen_4_Cross_212669)Gen_5_Cross_710595,Gen_5_Cross_710595,Gen_5_Cross_710595__5
ligand_2,-7.71313,0.417943,[H]/N=c1\c(C)c[nH]n1[C@H]1CC[C@@H]2NC[C@H](C3=CCN(C(=O)c4ccccc4)CC3)[C@H]2C1,-9.8,281.706613,0.687,(Gen_3_Cross_288385+ZINC001223147372)Gen_4_Mutant_26_697870,Gen_4_Mutant_26_697870,Gen_4_Mutant_26_697870__3
ligand_3,-6.82626,0.402664,C[C@@]1(/C(O)=N/[C@H]2CCC[C@]3(n4cnnn4)CCCC[C@@H]23)Cc2ccccc2C(=O)O1,-9.8,356.715593,0.782,(Gen_1_Cross_270945+Gen_1_Cross_466075)Gen_2_Cross_405063,Gen_2_Cross_405063,Gen_2_Cross_405063__2
ligand_4,-7.0101,0.529817,Cc1ccnn1[C@@]12CCCC[C@@H]1CC[C@H](N/C(O)=C/[C@H]1OC(=O)c3ccccc31)C2,-9.7,333.470069,0.776,(Gen_2_Cross_122255+Gen_2_Cross_266381)Gen_3_Cross_595751,Gen_3_Cross_595751,Gen_3_Cross_595751__3
ligand_5,-7.42727,0.453453,C=c1ccc2c(c1)C[C@](C)(C(=O)/N=C(\O)OCc1ccccc1C(=O)[C@@H]1CCOC1)OC=2C#N,-9.7,308.698361,0.676,(Gen_2_Mutant_80_864220)Gen_3_Mutant_7_127715,Gen_3_Mutant_7_127715,Gen_3_Mutant_7_127715__4
ligand_6,-7.5101,0.412799,C[C@@]1(C(=O)N[C@H]2CCC[C@]3(n4cnnn4)CCCC[C@]23C#N)Cc2ccccc2C(=O)O1,-9.6,345.991879,0.735,(Gen_4_Mutant_21_613049+Gen_4_Cross_633323)Gen_5_Cross_390964,Gen_5_Cross_390964,Gen_5_Cross_390964__1
ligand_7,-6.69293,0.397785,C[C@@]1(C(=O)N[C@H]2CCC[C@]3(n4cnn[nH+]4)CCCC[C@@H]23)Cc2ccccc2C(=O)O1,-9.6,352.651323,0.782,(Gen_2_Mutant_48_559285+Gen_2_Cross_405063)Gen_4_Cross_633323,Gen_4_Cross_633323,Gen_4_Cross_633323__2
ligand_8,-7.3303,0.424134,C=c1ccc2c(c1)C[C@](C)(C(=O)NC(=O)OCc1ccccc1C#N)OC=2O,-9.6,316.973507,0.824,(Gen_2_Cross_725510)Gen_3_Mutant_21_644353,Gen_3_Mutant_21_644353,Gen_3_Mutant_21_644353__3
ligand_9,-7.3303,0.407866,Cc1cc[nH+]n1[C@@]12CCCC[C@H]1CC[C@H](NC(=O)[C@]1(C)C[C@@H]3CCC[C@@H](N)[C@H]3C(=O)O1)C2,-9.6,247.074046,0.701,(Gen_2_Mutant_66_93870+Gen_2_Cross_266381)Gen_3_Cross_56119,Gen_3_Cross_56119,Gen_3_Cross_56119__3
ligand_10,-6.93434,0.411737,O=C1O[C@H](/C(O)=N/[C@H]2CCC[C@]3(n4c[nH+]nn4)CCCC[C@@H]23)Cc2ccccc21,-9.6,348.659643,0.798,(Gen_1_Mutant_37_406540+Gen_1_Cross_985595)Gen_2_Cross_905104,Gen_2_Cross_905104,Gen_2_Cross_905104__1
ligand_11,-7.51919,0.452753,C=c1ccc2c(c1)C[C@](C)(/C(O)=N/C(=O)OCc1ccccc1C(=O)[C@@H]1CCOC1)OC=2C#N,-9.5,308.120323,0.676,(Gen_4_Cross_773781)Gen_5_Mutant_7_669749,Gen_5_Mutant_7_669749,Gen_5_Mutant_7_669749__2
ligand_12,-7.14646,0.462167,Cc1ccc2c(c1)C[C@@](C)(C(=O)[N-][C@H]1CCC[C@]3(n4[nH+]ccc4C)CCCC[C@H]13)OC2=O,-9.5,331.136037,0.733,(Gen_1_Cross_666367+Gen_1_Cross_558299)Gen_2_Cross_167400,Gen_2_Cross_167400,Gen_2_Cross_167400__3
ligand_13,-7.46667,0.342893,C=C1CCC[C@H]2C[C@](C)(C(=O)Nc3cc(-n4cn[nH+]n4)c(Cl)cc3Cl)OC(=O)[C@@H]12,-9.5,274.668414,0.737,(Gen_2_Cross_332603+Gen_2_Mutant_37_419671)Gen_3_Cross_705671,Gen_3_Cross_705671,Gen_3_Cross_705671__1
ligand_14,-7.36869,0.494137,C=C1CCC[C@H]2C[C@@H](/C(O)=N\c3ccc(-n4cn[nH+]n4)c4ccccc34)OC(=O)[C@H]12,-9.5,300.116528,0.675,(Gen_2_Cross_268593+Gen_3_Cross_215598)Gen_4_Cross_165060,Gen_4_Cross_165060,Gen_4_Cross_165060__2
ligand_15,-6.99293,0.433974,C[C@@]1(/C(O)=N/[C@H]2CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@@H]23)Cc2ccccc2C(=O)O1,-9.5,357.072865,0.782,(Gen_3_Cross_68428+Gen_2_Cross_405063)Gen_4_Cross_125447,Gen_4_Cross_125447,Gen_4_Cross_125447__2
ligand_16,-7.48788,0.541094,C=c1ccc2c(c1)C[C@](C)(/C(O)=N/C(=O)OCc1ccccc1C(=O)[C@@H]1CCOC1)OC=2C#N,-9.4,308.120323,0.676,(Gen_2_Mutant_80_864220)Gen_5_Mutant_7_372343,Gen_5_Mutant_7_372343,Gen_5_Mutant_7_372343__2
ligand_17,-7.14343,0.428095,O=C1O[C@H](C(=O)N[C@H]2CCC[C@]3(n4c[nH+]nn4)CCCC[C@@H]23)Cc2ccccc21,-9.4,344.293948,0.798,(Gen_2_Cross_905104+Gen_4_Cross_617135)Gen_5_Cross_881244,Gen_5_Cross_881244,Gen_5_Cross_881244__1
ligand_18,-6.91818,0.396032,CO[C@@H]1CCC2=C(O)O[C@@](C)(C(=O)NC(=O)OCc3ccccc3C#N)C[C@H]2C1,-9.4,310.943438,0.772,(Gen_3_Mutant_21_644353+Gen_3_Mutant_76_468118)Gen_4_Cross_998010,Gen_4_Cross_998010,Gen_4_Cross_998010__1
ligand_19,-7.27071,0.395748,C=c1ccc2c(c1)C[C@](C)(/C(O)=N\C(=O)OCc1ccccc1C#N)OC=2O,-9.4,319.067529,0.824,(Gen_3_Cross_248360+Gen_3_Mutant_21_644353)Gen_4_Cross_126454,Gen_4_Cross_126454,Gen_4_Cross_126454__5
ligand_20,-7.38586,0.359857,O=C1O[C@@H]([C@H]2NCCc3ccc(O[C@H]4CCC45C[NH2+]C5)cc32)Cc2ccccc21,-9.4,322.973114,0.79,(Gen_2_Mutant_26_707719+Gen_1_Mutant_37_406540)Gen_3_Cross_76620,Gen_3_Cross_76620,Gen_3_Cross_76620__4
ligand_21,-7.21313,0.461803,Cc1cc[nH+]n1[C@@]12CCCC[C@H]1CC[C@H]([N-]C(=O)[C@]1(C)Cc3ccccc3C(=O)O1)C2,-9.4,353.033074,0.763,(Gen_1_Cross_532628+Gen_1_Cross_753285)Gen_2_Cross_266381,Gen_2_Cross_266381,Gen_2_Cross_266381__4
ligand_22,-7.55556,0.557995,C=c1ccc2c(c1)C[C@](C)(C(=O)NC(=O)OCc1ccccc1C(=O)[C@@H]1CCOC1)OC=2C#N,-9.3,305.554758,0.676,(Gen_4_Cross_259775+Gen_3_Mutant_7_127715)Gen_5_Cross_933435,Gen_5_Cross_933435,Gen_5_Cross_933435__1
