Ligand,Docking Score from Ensemble Docking (kcal/mol),Standard Deviation,SMILES,Docking Score from AutoGrow4 (kcal/mol),Molecular Weight,QED,Name,Origins,
ligand_1,-7.32727,0.508279,C[C@@]1([C@H]2[NH2+]CCc3ccc(CNC(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-10.4,341.6612481,0.729,(Gen_4_Cross_256595+Gen_4_Cross_297142)Gen_5_Cross_588564,Gen_5_Cross_588564,Gen_5_Cross_588564__3
ligand_2,-7.32323,0.522006,C[C@@]1([C@H]2[NH2+]CCc3ccc(CNC(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-10.4,341.6612481,0.729,(Gen_1_Mutant_37_769798)Gen_3_Mutant_7_488427,Gen_3_Mutant_7_488427,Gen_3_Mutant_7_488427__3
ligand_3,-7.28485,0.437016,C[C@@]1([C@H]2NCCc3ccc(CNC(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-10.3,340.355793,0.729,(Gen_3_Cross_601865+Gen_4_Mutant_7_573276)Gen_5_Cross_651462,Gen_5_Cross_651462,Gen_5_Cross_651462__1
ligand_4,-7.39192,0.375695,CC(=O)N1CCc2ccc(C/N=C(\O)[C@H]3C[C@@H](C#N)C3)cc2[C@@H]1[C@]1(C)Cc2ccccc2C(=O)O1,-10.3,339.8742328,0.689,(Gen_4_Mutant_26_359958+Gen_4_Cross_42352)Gen_5_Cross_949006,Gen_5_Cross_949006,Gen_5_Cross_949006__5
ligand_5,-7.30909,0.469492,C[C@@]1([C@H]2[NH2+]CCc3ccc(CNC(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-10.3,341.6612481,0.729,(Gen_3_Mutant_7_488427+Gen_3_Mutant_26_269337)Gen_5_Cross_848439,Gen_5_Cross_848439,Gen_5_Cross_848439__5
ligand_6,-7.15556,0.496497,C[C@@]1([C@@H]2[NH2+]CCc3ccc(C[N-]C(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-10.2,343.5170174,0.729,(Gen_2_Cross_76402)Gen_4_Mutant_7_99374,Gen_4_Mutant_7_99374,Gen_4_Mutant_7_99374__4
ligand_7,-7.2,0.42994,CC(=O)N1CCc2ccc(C/N=C(\O)[C@H]3C[C@@H](C#N)C3)cc2[C@@H]1[C@]1(C)Cc2ccccc2C(=O)O1,-10.2,339.8742328,0.689,(Gen_3_Mutant_7_372828+ZINC000104147059)Gen_4_Mutant_26_359958,Gen_4_Mutant_26_359958,Gen_4_Mutant_26_359958__4
ligand_8,-7.32222,0.519043,C[C@@]1([C@H]2NCCc3ccc(CNC(=O)[C@H]4C[C@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-10.1,340.355793,0.729,(Gen_4_Mutant_63_904816+Gen_3_Mutant_7_488427)Gen_5_Cross_779339,Gen_5_Cross_779339,Gen_5_Cross_779339__1
ligand_9,-7.50707,0.523634,C[C@@]1([C@H]2NCCc3ccc(CNC(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-10.1,340.355793,0.729,(Gen_3_Cross_278723+Gen_2_Mutant_7_654751)Gen_4_Cross_256595,Gen_4_Cross_256595,Gen_4_Cross_256595__1
ligand_10,-7.41616,0.432682,O=C1O[C@H](/C=C/[N@H+]2C[C@H]([C@H]3CCC[C@H]3O)[N@@H+](/C([O-])=C3\[C@H]4C[C@@H]5[C@H](C4)[C@H]35)N2)c2ccccc21,-10,316.9215788,0.729,(Gen_3_Mutant_26_482752+Gen_3_Cross_601865)Gen_5_Cross_750177,Gen_5_Cross_750177,Gen_5_Cross_750177__4
ligand_11,-7.14343,0.49973,C=C1CC[C@H](N2[C@H](C)CCN2[C@]2(F)CCC2(F)F)C[C@@H]1[N-]C(=O)C[C@H]1OC(=O)c2ccccc21,-10,328.1807915,0.707,(Gen_4_Mutant_14_967963+Gen_3_Cross_545560)Gen_5_Cross_881625,Gen_5_Cross_881625,Gen_5_Cross_881625__1
ligand_12,-7.49192,0.42108,C[C@@]1([C@@H]2NCCc3ccc(CNC(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-9.9,340.355793,0.729,(Gen_4_Mutant_7_573276+Gen_4_Cross_517431)Gen_5_Cross_751803,Gen_5_Cross_751803,Gen_5_Cross_751803__1
ligand_14,-7.45556,0.433967,C[C@@]1([C@@H]2[NH2+]CCc3ccc(CNC(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-9.9,341.6612481,0.729,(Gen_2_Cross_76402)Gen_5_Mutant_7_793715,Gen_5_Mutant_7_793715,Gen_5_Mutant_7_793715__3
ligand_15,-7.18586,0.509904,N#C[C@@H]1CCC[C@@H]1[C@H]1C[N@@H+](/C=C/[C@H]2OC(=O)c3ccccc32)N[N@@H+]1/C(O)=C1\[C@H]2C[C@@H]3[C@H](C2)[C@H]13,-9.8,315.4359021,0.718,(Gen_3_Mutant_26_482752)Gen_5_Mutant_7_66578,Gen_5_Mutant_7_66578,Gen_5_Mutant_7_66578__4
ligand_16,-7.60303,0.392211,C=C1CCC[C@@H]2C[C@@H](C(=O)Nc3cc(-n4c[nH+]nn4)cc4ccccc34)OC(=O)[C@@H]12,-9.8,327.3518853,0.675,(Gen_2_Cross_530431+Gen_2_Cross_488833)Gen_3_Cross_790791,Gen_3_Cross_790791,Gen_3_Cross_790791__2
ligand_17,-7.53636,0.379648,C=C1CCC[C@@H]2C[C@@H](/C(O)=N/c3cc(-n4cnn[nH+]4)cc4ccccc34)OC(=O)[C@@H]12,-9.7,327.4074862,0.675,(Gen_2_Cross_927604+Gen_2_Cross_530431)Gen_3_Cross_804859,Gen_3_Cross_804859,Gen_3_Cross_804859__5
ligand_18,-7.67071,0.40233,C=C1CCC[C@@H]2C[C@@H](C(=O)Nc3cc(-n4cn[nH+]n4)cc4ccccc34)OC(=O)[C@@H]12,-9.7,325.588426,0.675,(Gen_1_Cross_832532+Gen_1_Cross_926129)Gen_2_Cross_530431,Gen_2_Cross_530431,Gen_2_Cross_530431__3
ligand_19,-7.47576,0.44633,C=C1CCC[C@@H]2C[C@@H](/C(O)=N/c3cc(-n4cn[nH+]n4)cc4ccccc34)OC(=O)[C@@H]12,-9.6,327.3228114,0.675,(Gen_2_Cross_530431+Gen_3_Cross_804859)Gen_5_Cross_124112,Gen_5_Cross_124112,Gen_5_Cross_124112__3
ligand_20,-7.44646,0.627857,C=c1ccc2c(c1)C[C@](C)([C@@H]1[NH2+]CCc3ccc(CNC(O)=C4CC(C#N)C4)cc31)OC=2O,-9.6,280.1366221,0.706,(Gen_2_Mutant_76_563056+Gen_4_Mutant_7_99374)Gen_5_Cross_352377,Gen_5_Cross_352377,Gen_5_Cross_352377__2
ligand_22,-7.26768,0.425412,C[C@@]1(C(=O)N[C@H]2CCC[C@]3(n4cn[nH+]n4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,-9.6,369.4409047,0.782,(Gen_2_Cross_17832+Gen_2_Cross_750748)Gen_3_Cross_391885,Gen_3_Cross_391885,Gen_3_Cross_391885__2
ligand_23,-7.44949,0.414235,O=C1O[C@H](/C=C/[N@H+]2C[C@H]([C@H]3CCC[C@H]3O)[N@@H+](/C(O)=C3\[C@H]4C[C@@H]5[C@H](C4)[C@H]35)N2)c2ccccc21,-9.6,310.6165772,0.707,(Gen_1_Mutant_48_297818+ZINC000104147061)Gen_3_Mutant_26_482752,Gen_3_Mutant_26_482752,Gen_3_Mutant_26_482752__5
ligand_24,-7.28081,0.422517,O=C1O[C@@H](/C(O)=N\[C@H]2CCC[C@]3(n4c[nH+]nn4)CCCC[C@@H]23)Cc2ccccc21,-9.6,362.8923112,0.798,(cmp514+cmp52_Frag_972268)Gen_1_Cross_531271,Gen_1_Cross_531271,Gen_1_Cross_531271__4
ligand_25,-7.59192,0.446689,O=C1O[C@H](/C=C/[N@@H+]2C[C@H]([C@H]3CCC[C@H]3O)N(/C([O-])=C3\[C@H]4C[C@@H]5[C@H](C4)[C@H]35)N2)c2ccccc21,-9.6,321.4665983,0.707,(Gen_3_Mutant_23_101717+Gen_3_Mutant_26_482752)Gen_4_Cross_51169,Gen_4_Cross_51169,Gen_4_Cross_51169__2
ligand_28,-7.35152,0.46761,C[C@@]1([C@@H]2[NH2+]CCc3ccc(C[N-]C(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-9.5,343.5170174,0.729,(Gen_4_Cross_350405+Gen_3_Mutant_7_488427)Gen_5_Cross_186725,Gen_5_Cross_186725,Gen_5_Cross_186725__4
ligand_29,-7.41717,0.416343,C=C1CCC[C@@H]2C[C@@H](/C(O)=N/c3cc(-n4c[nH+]nn4)cc4ccccc34)OC(=O)[C@@H]12,-9.5,328.8897258,0.675,(Gen_4_Mutant_21_378721+Gen_3_Cross_804859)Gen_5_Cross_280584,Gen_5_Cross_280584,Gen_5_Cross_280584__2
ligand_31,-7.34646,0.43631,C[C@@]1([C@@H]2NCCc3ccc(C[N-]C(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,-9.5,342.5759906,0.729,(Gen_2_Cross_76402)Gen_3_Mutant_7_372828,Gen_3_Mutant_7_372828,Gen_3_Mutant_7_372828__2
ligand_32,-7.28788,0.370986,C[C@]1(C(=O)[N-][C@H]2CCC[C@H]3CCCC[C@]32n2c[nH+]nn2)Cc2ccccc2C(=O)O1,-9.5,377.8544753,0.782,(Gen_1_Cross_353505+Gen_1_Cross_429824)Gen_2_Cross_858234,Gen_2_Cross_858234,Gen_2_Cross_858234__2
ligand_34,-7.78384,0.375972,C=C1CCC[C@@H]2C[C@@H](C(=O)Nc3cc(-n4cnn[nH+]4)cc4ccccc34)OC(=O)[C@@H]12,-9.5,325.8257933,0.675,(Gen_2_Cross_530431+Gen_2_Mutant_87_870008)Gen_3_Cross_606083,Gen_3_Cross_606083,Gen_3_Cross_606083__1
ligand_35,-7.37273,0.365651,C[C@]12CCCC[C@H]1C(=O)O[C@](C)(C(=O)N[C@H]1CCC[C@]3(n4cnnn4)CCCC[C@H]13)C2,-9.5,238.7774199,0.741,(Gen_3_Mutant_80_807471+Gen_3_Cross_507916)Gen_4_Cross_192138,Gen_4_Cross_192138,Gen_4_Cross_192138__3
ligand_36,-7.68586,0.378196,C=C1CCC[C@H]2C[C@H](C(=O)Nc3cc(-n4c[nH+]nn4)cc4ccccc34)OC(=O)[C@H]12,-9.5,327.3518853,0.675,(Gen_2_Mutant_76_47347+Gen_3_Cross_606083)Gen_4_Cross_822383,Gen_4_Cross_822383,Gen_4_Cross_822383__4
ligand_37,-7.32727,0.386337,C[C@H]1CC[C@@H]2C(=O)O[C@@H](/C(O)=N/[C@@H]3CCC[C@@H]4CCCC[C@]43n3c[nH+]nn3)C[C@H]2C1,-9.5,250.7909487,0.762,(Gen_3_Mutant_66_958186+Gen_3_Mutant_9_85523)Gen_4_Cross_27878,Gen_4_Cross_27878,Gen_4_Cross_27878__4
ligand_38,-7.40909,0.41587,C=C1CCC[C@@H]2C[C@@H](/C(O)=N/c3cc(-n4c[nH+]nn4)cc4ccccc34)OC(=O)[C@@H]12,-9.5,328.8897258,0.675,(Gen_2_Cross_443779+Gen_3_Cross_804859)Gen_4_Cross_767527,Gen_4_Cross_767527,Gen_4_Cross_767527__2
ligand_39,-7.3697,0.461542,C[C@]12CCCC[C@H]1C[C@@H](n1c[nH+]n[nH+]1)C[C@@H]2/N=C(/O)[C@]1(C)Cc2ccccc2C(=O)O1,-9.5,363.1807616,0.762,(Gen_3_Mutant_7_309492+Gen_2_Cross_196831)Gen_4_Cross_926372,Gen_4_Cross_926372,Gen_4_Cross_926372__5
ligand_40,-7.2798,0.469037,Cc1cc[nH+]n1[C@]12CCCC[C@H]1[C@@H]([N-]C(=O)[C@@]1(C)Cc3ccccc3C(=O)O1)CCC2,-9.5,376.9955583,0.763,(Gen_3_Cross_278723+Gen_2_Cross_131621)Gen_4_Cross_214313,Gen_4_Cross_214313,Gen_4_Cross_214313__2
ligand_41,-7.12222,0.431478,C[C@]1(/C(O)=N\[C@H]2CCC[C@@]3(n4c[nH+]nn4)CCCC[C@@H]23)Cc2ccccc2C(=O)O1,-9.4,378.5730517,0.782,(Gen_2_Cross_831952+Gen_3_Cross_507916)Gen_5_Cross_189362,Gen_5_Cross_189362,Gen_5_Cross_189362__5
