Number,,Binding Energy,Stdev,SMILES,gasa,QED,caco2,MDCK,PPB,logVDss,Fu,LM-human,cl-plasma,DILI,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549,H-HT
7,,-6.528,0.478,CC1(C(=O)NC2CCCc3ccccc32)Cc2ccccc2C(=O)O1,0,0.856,-4.562036638,-4.465539815,97.30610296,3.043057047,0.9988178611,1.991251189,0.4662893116,0.5317602158,0.4996991158,0.2502253354,0.2602157295,0.09101805091,0.4549417794
8,,-7.294,0.418,CC1(C(=O)Nc2ccn3nnnc3c2)Cc2ccccc2C(=O)O1,0,0.712,-4.554175743,-4.621936893,88.79577307,11.05204861,0.5988980532,2.251134565,0.8996835351,0.5930312276,0.729812026,0.5507890582,0.3724705577,0.07196624577,0.6651848555
,,,,,,,>0.675,>-5.15,<=90%,>=5%,0.3-1.0,0-15,0-0.7,0-0.7,0-0.7,0-0.7,0-0.7,0-0.7,
,,,,,,,,,,,,,,,,,,,
Number,,Binding Energy,Stdev,SMILES,gasa,QED,caco2,MDCK,PPB,Fu,LM-human,cl-plasma,DILI,Heptatoxicity,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549,Carcinogenicity
9,,-6.880,0.375,CC1(C(=O)NC2CCCn3nnnc32)Cc2ccccc2C(=O)O1,0,0.819,-4.615427072,-4.487545727,66.98473434,32.32599097,0.8703596592,2.503542494,0.6968607903,0.5286235213,0.5650551915,0.4819535017,0.2323279083,0.05084963888,0.5731816888
10,,-6.709,0.344,CC1(C(=O)NC2CCn3nnnc3C2)Cc2ccccc2C(=O)O1,0,0.795,-4.548140811,-4.479814791,61.36351177,36.92289693,0.4629448056,2.845543895,0.6027354598,0.4515844882,0.4775770307,0.4657359123,0.1676075757,0.06240333617,0.5683383346
11,,-7.070,0.340,CC1(C(=O)NC2CCCC(n3cncn3)C2)Cc2ccccc2C(=O)O1,0,0.853,-4.692467598,-4.767605697,57.82485196,42.293563,0.98603338,2.895261017,0.847258985,0.5926660895,0.593341887,0.4027822018,0.2392845452,0.05438717827,0.5084137917
12,,-6.696,0.460,CC1(C(=O)NC2CCCC(n3cnnc3)C2)Cc2ccccc2C(=O)O1,0,0.853,-4.967782273,-4.931342105,54.1795628,44.11403581,0.09568461031,3.593974732,0.755112648,0.44997859,0.6092793345,0.4070367813,0.1492495239,0.0465917699,0.3900793195
13,,-6.798,0.380,CC1(C(=O)NC2CCCC(n3ccnc3)C2)Cc2ccccc2C(=O)O1,0,0.861,-4.718845701,-4.723026432,57.04704606,41.74710886,0.9941825271,3.481069684,0.838922143,0.556502223,0.5172899365,0.5957351327,0.2065168917,0.05571198463,0.4544270933
14,,-6.919,0.343,CC1(C(=O)NC2CCCC(n3cccn3)C2)Cc2ccccc2C(=O)O1,0,0.861,-4.647209035,-4.730466645,64.64572114,35.46382741,0.9666303992,2.644604359,0.5861684084,0.5347933769,0.5961908698,0.3029627502,0.1852677166,0.0795276463,0.5595844388
,,,,,,,,,,,,,,,,,,,
,,,,,gasa,QED,caco2,MDCK,PPB,Fu,LM-human,cl-plasma,DILI,Heptatoxicity,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549,Carcinogenicity
15,3,-7.15152,0.352011,Cc1ccnn1C1CCCC(NC(=O)C2(C)Cc3ccccc3C(=O)O2)C1,0,0.847,-4.762940594,-4.640728179,71.99176346,29.54518132,0.989757061,3.16775456,0.5620962977,0.5335690975,0.5984225869,0.3059875965,0.1771957129,0.0719280988,0.5750227571
16,4,-7.26667,0.436237,Cc1nnnn1C1CCCC(NC(=O)C2(C)Cc3ccccc3C(=O)O2)C1,0,0.828,-5.078454939,-4.957088976,71.44943072,28.63048161,0.9937642813,2.133521965,0.6709276438,0.5495716333,0.5333374739,0.3121294975,0.1778300703,0.08961933851,0.3461343348
17,,-6.8,0.386123,Cn1nnnc1CNC(=O)C1(C)Cc2ccccc2C(=O)O1,0,0.801,-4.865324053,-4.671232166,79.53584025,20.92544552,0.8760237694,3.632644272,0.6776422262,0.4766105115,0.5754778981,0.5446156263,0.3071562648,0.05323820189,0.608892262
18,,-7.11111,0.390257,Cn1nnnc1C(=O)CNC(=O)C1(C)Cc2ccccc2C(=O)O1,0,0.603,-4.806211009,-4.58813995,72.93463458,27.56166107,0.5905601382,2.20699583,0.6811877489,0.4618914425,0.6574490666,0.4125424623,0.3056620359,0.04779827222,0.5628554225
,,,,,,,,,,,,,,,,,,,
,,,,,gasa,QED,caco2,MDCK,PPB,Fu,LM-human,cl-plasma,DILI,Heptatoxicity,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549,Carcinogenicity
19,3,-7.42222,0.361969,CC(C)c1nnnn1C1CCCC(NC(=O)C2(C)Cc3ccccc3C(=O)O2)C1,0,0.796,-4.872473265,-4.831759738,69.64709341,29.85618068,0.9905225635,4.227721578,0.6695184708,0.5464421511,0.6574434042,0.2398826778,0.2413228452,0.08804270625,0.340936482
,,,,,,,,,,,,,,,,,,,
,,,,,gasa,QED,caco2,MDCK,PPB,Fu,LM-human,cl-plasma,DILI,H-HT,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549,Carcinogenicity
20,4,-7.19091,0.441094,CC1(C(=O)NC2CCCC(n3nnnc3C3CCCC3)C2)Cc2ccccc2C(=O)O1,0,0.759,-4.907958854,-4.730819285,84.72841765,16.33480045,0.9980471134,2.855232278,0.56228894,0.5629622936,0.4866964817,0.2327181548,0.2292677462,0.184313342,0.2744252682
21,4,-7.46061,0.467276,CC1(C(=O)NC2CCCC(n3nnnc3C3CCC3)C2)Cc2ccccc2C(=O)O1,0,0.78,-4.962291527,-4.805988137,83.16769295,17.58501827,0.9994215965,2.811298128,0.4764280617,0.573115766,0.4903405011,0.218499586,0.2207228243,0.1708242595,0.3165032268
22,,-7.03333,0.373625,CC(C)c1ccnn1C1CCCC(NC(=O)C2(C)Cc3ccccc3C(=O)O2)C1,0,0.8,-4.704138831,-4.884436993,87.56999649,12.48514264,0.9959439635,4.084075178,0.4048461318,0.515681684,0.5850051641,0.2202946246,0.2410086244,0.1427321732,0.3400372863
23,,-7.02323,0.392049,Cc1nncn1C1CCCC(NC(=O)C2(C)Cc3ccccc3C(=O)O2)C1,0,0.841,-5.140836793,-4.825564301,58.64735543,40.49323967,0.5238420367,2.540279276,0.6807191372,0.5699249506,0.5759729147,0.3432339132,0.1861177683,0.06813883036,0.3801181614
