Ligand,Docking Score from Ensemble Docking (kcal/mol),Standard Deviation,SMILES,Docking Score from AutoGrow4 (kcal/mol),Molecular Weight,QED,Name,Origins,
ligand_29,-7.4798,0.473751,C=c1cc(C)c2c(c1)C[C@@](C)(C(=O)N[C@@H]1CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@@H]13)OC=2C#N,-9.4,288.030092,0.768,(Gen_3_Cross_138981)Gen_5_Mutant_7_317072,Gen_5_Mutant_7_317072,Gen_5_Mutant_7_317072__1
ligand_31,-7.81818,0.569665,C=C1[C@H](F)C[C@H](F)[C@H](C#N)[C@@H]1c1ccc2c(c1)[C@H]([C@]1(C)Cc3cc(=C)ccc3=C(C#N)O1)NCC2,-9.3,310.770061,0.677,(Gen_4_Cross_416461)Gen_5_Mutant_7_687553,Gen_5_Mutant_7_687553,Gen_5_Mutant_7_687553__2
ligand_33,-7.90707,0.465204,Cc1ccc2c(c1)C[C@](C)([C@@H]1NC(=O)[C@H]3C[C@@H](c4cccc(F)c4)CC[C@H]3N1)OC2=O,-9.3,323.85983,0.726,(Gen_4_Cross_318432+Gen_4_Mutant_7_528671)Gen_5_Cross_929343,Gen_5_Cross_929343,Gen_5_Cross_929343__1
ligand_35,-7.51919,0.454756,Cc1cc(C)c2c(c1)C[C@](C)(C(=O)N[C@@H]1CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@@H]13)OC2=O,-9.2,290.726547,0.741,(Gen_4_Cross_366389+Gen_3_Cross_138981)Gen_5_Cross_7312,Gen_5_Cross_7312,Gen_5_Cross_7312__2
ligand_38,-7.24444,0.40756,C[C@@H]1CC[C@@H]2C(=O)O[C@](C)([C@@H]3[N-]C(=O)[C@@H]4C[C@@H](c5cccc(F)c5)CC[C@@H]4N3)C[C@H]2C1,-9,287.220843,0.702,(Gen_4_Mutant_7_604241+Gen_3_Cross_713114)Gen_5_Cross_137373,Gen_5_Cross_137373,Gen_5_Cross_137373__2
ligand_39,-7.74242,0.440636,Cc1cc(C)c2c(c1)C[C@](C)(C(=O)[N-][C@@H]1CCC[C@]3(n4cnnn4)CCCC[C@@H]13)OC2=O,-8.9,294.368845,0.741,(Gen_4_Cross_833014+Gen_3_Cross_138981)Gen_5_Cross_220640,Gen_5_Cross_220640,Gen_5_Cross_220640__1
ligand_40,-7.17778,0.477272,Cc1ccc2c(c1)C[C@](C)(/C(O)=N\[C@@H]1CCC[C@@]3(n4c[nH+]nn4)CCCC[C@H]13)OC2=O,-8.9,317.662585,0.762,(Gen_4_Cross_667842+Gen_3_Mutant_26_587463)Gen_5_Cross_7683,Gen_5_Cross_7683,Gen_5_Cross_7683__5
ligand_41,-7.58586,0.454386,C[C@]1(C(=O)[N-][C@H]2CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,-8.8,326.876071,0.782,(Gen_4_Cross_941336+Gen_3_Cross_442436)Gen_5_Cross_325620,Gen_5_Cross_325620,Gen_5_Cross_325620__3
ligand_42,-7.11313,0.305057,Cc1cc[nH+]n1-c1cc(N/C(O)=[N+]2\CC=C([O-])CC2)c2ccccc2c1,-8.8,240.357619,0.721,(Gen_4_Mutant_26_240162+Gen_4_Cross_516830)Gen_5_Cross_375852,Gen_5_Cross_375852,Gen_5_Cross_375852__4
ligand_44,-7.12424,0.389792,Cc1ccc2c(c1)C[C@](C)(C(=O)[N-][C@H]1CCC[C@@H]3CCCC[C@@H]31)OC2=O,-8.7,327.885894,0.818,(Gen_2_Mutant_18_125920+Gen_4_Cross_271004)Gen_5_Cross_972124,Gen_5_Cross_972124,Gen_5_Cross_972124__1
ligand_45,-7.23333,0.345826,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-]c1cccc3ccccc13)OC=2C#N,-8.7,318.188727,0.77,(Gen_4_Cross_633790+Gen_4_Mutant_45_84701)Gen_5_Cross_647788,Gen_5_Cross_647788,Gen_5_Cross_647788__3
ligand_47,-7.18283,0.425225,C[C@]1(C(=O)[N-][C@@H]2CCC[C@]3(n4cnn[nH+]4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,-8.5,327.362221,0.782,(Gen_3_Cross_442436+Gen_4_Mutant_3_408906)Gen_5_Cross_646481,Gen_5_Cross_646481,Gen_5_Cross_646481__3
ligand_48,-7.16869,0.485891,N#C/C(=[N+]1/CCC[C@H](N/C(O)=N/[C@H]2CCC[C@]3(n4cnnn4)CCCC[C@H]23)C1)C(F)(F)F,-8.4,204.398455,0.681,(Gen_4_Cross_475221)Gen_5_Mutant_7_897770,Gen_5_Mutant_7_897770,Gen_5_Mutant_7_897770__1
ligand_50,-7.28182,0.421485,C[C@H](c1[nH+]c[nH+]o1)N1C[N@H+](c2cc(Cl)c3ccccc3c2)NN1,-8.3,213.429732,0.765,(Gen_4_Cross_299279+Gen_4_Cross_421593)Gen_5_Cross_240480,Gen_5_Cross_240480,Gen_5_Cross_240480__4
