Ligand,Docking Score from Ensemble Docking (kcal/mol),Standard Deviation,SMILES,Docking Score from AutoGrow4 (kcal/mol),Molecular Weight,QED,Name,Origins,
ligand_2,-8.3798,0.433445,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-]c1cccc(N3C/[N+](=C(/C)C#N)NN3)c1)OC=2C#N,-10.2,322.433716,0.701,(Gen_4_Mutant_7_298996)Gen_5_Mutant_7_155361,Gen_5_Mutant_7_155361,Gen_5_Mutant_7_155361__3
ligand_3,-7.86566,0.461697,C[C@@H]1CC[C@H]2C(=O)O[C@@](C)([C@@H]3NC(=O)[C@H]4C[C@@H](c5cccc(F)c5)CC[C@H]4[NH2+]3)C[C@H]2C1,-10.2,290.538441,0.702,(Gen_3_Mutant_7_320980+Gen_3_Cross_713114)Gen_4_Cross_318432,Gen_4_Cross_318432,Gen_4_Cross_318432__5
ligand_4,-7.55657,0.383804,C=C1C[C@H](C)C[C@H]2C[C@@](C)([C@@H]3[N-]C(=O)[C@@H]4C[C@@H](c5cccc(F)c5)CC[C@@H]4[NH2+]3)OC(=O)[C@H]12,-10.1,286.362971,0.677,(Gen_3_Mutant_26_196697+Gen_3_Cross_713114)Gen_5_Cross_430677,Gen_5_Cross_430677,Gen_5_Cross_430677__5
ligand_6,-8.02626,0.403416,CC(=O)[N@H+]1C[N@H+](c2cccc(NC(=O)[C@]3(C)C[C@@H]4C[C@H](C)CCC4=C(C#N)O3)c2)NN1,-10,285.798837,0.684,(Gen_4_Mutant_18_66705+Gen_4_Mutant_7_514062)Gen_5_Cross_190667,Gen_5_Cross_190667,Gen_5_Cross_190667__5
ligand_7,-7.97071,0.50257,C[C@@H]1CC[C@H]2C(=O)O[C@](C)([C@H]3NC(=O)[C@@H]4C[C@@H](c5cccc(F)c5)CC[C@@H]4[NH2+]3)C[C@H]2C1,-9.9,290.538441,0.702,(Gen_4_Cross_318432+Gen_4_Cross_40116)Gen_5_Cross_482301,Gen_5_Cross_482301,Gen_5_Cross_482301__3
ligand_8,-7.67475,0.475531,C[C@@H]1CC[C@H]2C(=O)O[C@](C)([C@@H]3[N-]C(=O)[C@@H]4C[C@@H](c5cccc(F)c5)CC[C@@H]4N3)C[C@H]2C1,-9.9,287.220843,0.702,(Gen_2_Cross_564071+Gen_2_Cross_859593)Gen_3_Cross_713114,Gen_3_Cross_713114,Gen_3_Cross_713114__3
ligand_10,-7.38384,0.414804,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-][C@H]1CCC[C@@]3(n4c[nH+]nn4)CCCC[C@H]13)OC=2C#N,-9.8,306.122332,0.784,(Gen_2_Cross_930346)Gen_3_Mutant_7_211807,Gen_3_Mutant_7_211807,Gen_3_Mutant_7_211807__2
ligand_13,-7.82121,0.507175,C=c1ccc2c(c1)C[C@@](C)(C(=O)[N-]c1cccc(N3C/[N+](=C(\C#N)CF)NN3)c1)OC=2C#N,-9.7,322.276148,0.673,(Gen_4_Mutant_7_960914+Gen_4_Cross_980873)Gen_5_Cross_956732,Gen_5_Cross_956732,Gen_5_Cross_956732__2
ligand_14,-7.62727,0.463587,C=c1ccc2c(c1)C[C@@](C)(C(=O)[N-]c1cccc(N3C/[N+](=C(\O)C(C)C)NN3)c1)OC=2C#N,-9.7,328.944369,0.687,(Gen_3_Cross_754308+Gen_3_Mutant_7_974279)Gen_4_Cross_960250,Gen_4_Cross_960250,Gen_4_Cross_960250__5
ligand_16,-7.49798,0.429465,C[C@@H]1CC[C@H]2C(=O)O[C@](C)([C@@H]3[N-]C(=O)[C@@H]4C[C@@H](c5cccc(F)c5)CC[C@@H]4[NH2+]3)C[C@@H]2C1,-9.7,288.733303,0.702,(Gen_3_Cross_713114+Gen_3_Cross_454919)Gen_4_Cross_21745,Gen_4_Cross_21745,Gen_4_Cross_21745__3
ligand_17,-7.31818,0.434,C[C@@]1(C(=O)N=C2C=CC[C@]3(n4cnnn4)C=CC=C[C@@]23C#N)Cc2ccccc2C(=O)O1,-9.7,302.245902,0.674,(Gen_3_Cross_955516)Gen_4_Mutant_21_779072,Gen_4_Mutant_21_779072,Gen_4_Mutant_21_779072__5
ligand_19,-7.3798,0.439922,C[C@H]1CC[C@@H]2C(=O)O[C@@](C)([C@@H]3N=C(O)[C@H]4C[C@@H](c5cccc(F)c5)CC[C@H]4N3)C[C@H]2C1,-9.6,287.302447,0.702,(Gen_4_Cross_43897+Gen_4_Cross_318432)Gen_5_Cross_691965,Gen_5_Cross_691965,Gen_5_Cross_691965__3
ligand_21,-7.34747,0.335852,C=C1CCC[C@@H]2C[C@@H](/C(O)=N\[C@@H]3C[C@](N)(n4c[nH+]n[nH+]4)Cc4ccccc43)OC(=O)[C@H]12,-9.6,300.097058,0.719,(Gen_4_Cross_28879+Gen_4_Cross_285337)Gen_5_Cross_499504,Gen_5_Cross_499504,Gen_5_Cross_499504__5
ligand_23,-7.11515,0.571435,C=c1cc(C)c2c(c1)C[C@](C)([C@H]1NCC[C@H]3CC[C@@H](c4cc(F)cc(F)c4C#N)C[C@H]31)OC=2C#N,-9.5,299.471654,0.714,(Gen_3_Mutant_26_587463+Gen_4_Mutant_7_59603)Gen_5_Cross_172153,Gen_5_Cross_172153,Gen_5_Cross_172153__1
ligand_24,-7.16263,0.428431,C[C@@]1(C(=O)[N-][C@@H]2CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,-9.5,326.876071,0.782,(Gen_4_Mutant_25_330040+Gen_3_Cross_442436)Gen_5_Cross_957525,Gen_5_Cross_957525,Gen_5_Cross_957525__3
ligand_26,-7.21313,0.63844,C=c1ccc2c(c1)C[C@](C)([C@H]1[NH2+]CC[C@H]3CC[C@@H](c4cc(F)cc(F)c4C#N)C[C@H]31)OC=2C#N,-9.5,312.816702,0.742,(Gen_4_Cross_816383+Gen_4_Mutant_7_59603)Gen_5_Cross_929784,Gen_5_Cross_929784,Gen_5_Cross_929784__2
ligand_27,-7.34646,0.422669,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-][C@@H]1CCC[C@@]3(n4c[nH+]n[nH+]4)CCCC[C@H]13)OC=2O,-9.5,303.681538,0.762,(Gen_2_Mutant_66_13561+Gen_2_Cross_930346)Gen_3_Cross_764338,Gen_3_Cross_764338,Gen_3_Cross_764338__5
ligand_28,-8.20101,0.393763,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-]c1cccc(N3C/[N+](=C(/C#N)CF)NN3)c1)OC=2C#N,-9.4,322.276148,0.673,(Gen_4_Cross_591879+Gen_4_Mutant_7_960914)Gen_5_Cross_514164,Gen_5_Cross_514164,Gen_5_Cross_514164__1
