Ligand,Docking Score from Ensemble Docking (kcal/mol),Standard Deviation,SMILES,Docking Score from AutoGrow4 (kcal/mol),Molecular Weight,QED,Name,Origins,
ligand_1,-7.05758,0.531643,C=c1ccc2c(c1)C[C@](C)([C@H]1[NH2+]CC[C@H]3CC[C@@H](c4cc(F)cc(F)c4C#N)C[C@H]31)OC=2C#N,-10.3,312.8167019,0.742,(Gen_3_Cross_628948)Gen_4_Mutant_7_59603,Gen_4_Mutant_7_59603,Gen_4_Mutant_7_59603__2
ligand_2,-8.3798,0.433445,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-]c1cccc(N3C/[N+](=C(/C)C#N)NN3)c1)OC=2C#N,-10.2,322.4337163,0.701,(Gen_4_Mutant_7_298996)Gen_5_Mutant_7_155361,Gen_5_Mutant_7_155361,Gen_5_Mutant_7_155361__3
ligand_3,-7.86566,0.461697,C[C@@H]1CC[C@H]2C(=O)O[C@@](C)([C@@H]3NC(=O)[C@H]4C[C@@H](c5cccc(F)c5)CC[C@H]4[NH2+]3)C[C@H]2C1,-10.2,290.5384407,0.702,(Gen_3_Mutant_7_320980+Gen_3_Cross_713114)Gen_4_Cross_318432,Gen_4_Cross_318432,Gen_4_Cross_318432__5
ligand_4,-7.55657,0.383804,C=C1C[C@H](C)C[C@H]2C[C@@](C)([C@@H]3[N-]C(=O)[C@@H]4C[C@@H](c5cccc(F)c5)CC[C@@H]4[NH2+]3)OC(=O)[C@H]12,-10.1,286.3629707,0.677,(Gen_3_Mutant_26_196697+Gen_3_Cross_713114)Gen_5_Cross_430677,Gen_5_Cross_430677,Gen_5_Cross_430677__5
ligand_5,-6.86061,0.430132,C[C@@]1(C(=O)[N-][C@H]2CCC[C@@]3(n4cn[nH+]n4)CCCC[C@@H]23)Cc2ccccc2C(=O)O1,-10.1,328.1929187,0.782,(Gen_2_Cross_11619+Gen_2_Cross_239502)Gen_3_Cross_788275,Gen_3_Cross_788275,Gen_3_Cross_788275__1
ligand_6,-8.02626,0.403416,CC(=O)[N@H+]1C[N@H+](c2cccc(NC(=O)[C@]3(C)C[C@@H]4C[C@H](C)CCC4=C(C#N)O3)c2)NN1,-10,285.7988371,0.684,(Gen_4_Mutant_18_66705+Gen_4_Mutant_7_514062)Gen_5_Cross_190667,Gen_5_Cross_190667,Gen_5_Cross_190667__5
ligand_7,-7.97071,0.50257,C[C@@H]1CC[C@H]2C(=O)O[C@](C)([C@H]3NC(=O)[C@@H]4C[C@@H](c5cccc(F)c5)CC[C@@H]4[NH2+]3)C[C@H]2C1,-9.9,290.5384407,0.702,(Gen_4_Cross_318432+Gen_4_Cross_40116)Gen_5_Cross_482301,Gen_5_Cross_482301,Gen_5_Cross_482301__3
ligand_8,-7.67475,0.475531,C[C@@H]1CC[C@H]2C(=O)O[C@](C)([C@@H]3[N-]C(=O)[C@@H]4C[C@@H](c5cccc(F)c5)CC[C@@H]4N3)C[C@H]2C1,-9.9,287.2208426,0.702,(Gen_2_Cross_564071+Gen_2_Cross_859593)Gen_3_Cross_713114,Gen_3_Cross_713114,Gen_3_Cross_713114__3
ligand_9,-6.8798,0.491541,C=c1cc(C)c2c(c1)C[C@@](C)(C(=O)[N-][C@@H]1CCC[C@]3(n4c[nH+]nn4)CCCC[C@@H]13)OC=2O,-9.9,296.7941408,0.741,(Gen_2_Cross_188186+Gen_2_Mutant_49_786332)Gen_3_Cross_138981,Gen_3_Cross_138981,Gen_3_Cross_138981__4
ligand_10,-7.38384,0.414804,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-][C@H]1CCC[C@@]3(n4c[nH+]nn4)CCCC[C@H]13)OC=2C#N,-9.8,306.1223323,0.784,(Gen_2_Cross_930346)Gen_3_Mutant_7_211807,Gen_3_Mutant_7_211807,Gen_3_Mutant_7_211807__2
ligand_11,-6.80505,0.385959,C[C@@]1(/C(O)=N/[C@@H]2CCC[C@@]3(n4cnnn4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,-9.8,324.4642499,0.782,(Gen_1_Cross_65480+Gen_3_Cross_83460)Gen_4_Cross_667842,Gen_4_Cross_667842,Gen_4_Cross_667842__3
ligand_12,-7.06869,0.456302,C[C@@]1(C(=O)[N-][C@@H]2CCC[C@]3(n4cnn[nH+]4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,-9.8,327.3622209,0.782,(Gen_2_Mutant_80_786914+Gen_2_Cross_504086)Gen_3_Cross_442436,Gen_3_Cross_442436,Gen_3_Cross_442436__2
ligand_13,-7.82121,0.507175,C=c1ccc2c(c1)C[C@@](C)(C(=O)[N-]c1cccc(N3C/[N+](=C(\C#N)CF)NN3)c1)OC=2C#N,-9.7,322.2761484,0.673,(Gen_4_Mutant_7_960914+Gen_4_Cross_980873)Gen_5_Cross_956732,Gen_5_Cross_956732,Gen_5_Cross_956732__2
ligand_14,-7.62727,0.463587,C=c1ccc2c(c1)C[C@@](C)(C(=O)[N-]c1cccc(N3C/[N+](=C(\O)C(C)C)NN3)c1)OC=2C#N,-9.7,328.9443693,0.687,(Gen_3_Cross_754308+Gen_3_Mutant_7_974279)Gen_4_Cross_960250,Gen_4_Cross_960250,Gen_4_Cross_960250__5
ligand_15,-6.9798,0.492977,C[C@@]1(C(=O)[N-][C@H]2CCC[C@]3(n4c[nH+]nn4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,-9.7,330.4646707,0.782,(Gen_1_Cross_168186+Gen_1_Cross_772529)Gen_2_Cross_934644,Gen_2_Cross_934644,Gen_2_Cross_934644__2
ligand_16,-7.49798,0.429465,C[C@@H]1CC[C@H]2C(=O)O[C@](C)([C@@H]3[N-]C(=O)[C@@H]4C[C@@H](c5cccc(F)c5)CC[C@@H]4[NH2+]3)C[C@@H]2C1,-9.7,288.7333033,0.702,(Gen_3_Cross_713114+Gen_3_Cross_454919)Gen_4_Cross_21745,Gen_4_Cross_21745,Gen_4_Cross_21745__3
ligand_17,-7.31818,0.434,C[C@@]1(C(=O)N=C2C=CC[C@]3(n4cnnn4)C=CC=C[C@@]23C#N)Cc2ccccc2C(=O)O1,-9.7,302.2459017,0.674,(Gen_3_Cross_955516)Gen_4_Mutant_21_779072,Gen_4_Mutant_21_779072,Gen_4_Mutant_21_779072__5
ligand_18,-6.85354,0.44206,C=C1C[C@H](NC(=O)[C@]2(C)Cc3cc(=C)ccc3=C(C#N)O2)[C@H]2CCCC[C@@]2(n2c[nH+]nn2)C1,-9.7,302.8792865,0.719,(Gen_2_Cross_404654)Gen_3_Mutant_7_551159,Gen_3_Mutant_7_551159,Gen_3_Mutant_7_551159__2
ligand_19,-7.3798,0.439922,C[C@H]1CC[C@@H]2C(=O)O[C@@](C)([C@@H]3N=C(O)[C@H]4C[C@@H](c5cccc(F)c5)CC[C@H]4N3)C[C@H]2C1,-9.6,287.3024468,0.702,(Gen_4_Cross_43897+Gen_4_Cross_318432)Gen_5_Cross_691965,Gen_5_Cross_691965,Gen_5_Cross_691965__3
ligand_20,-7.00808,0.547847,C=c1ccc2c(c1)C[C@](C)([C@H]1[NH2+]CC[C@H]3CC[C@@H](c4c(C)c(F)cc(F)c4C#N)C[C@H]31)OC=2C#N,-9.6,308.4616686,0.714,(Gen_3_Cross_641694+Gen_4_Mutant_7_59603)Gen_5_Cross_1939,Gen_5_Cross_1939,Gen_5_Cross_1939__1
ligand_21,-7.34747,0.335852,C=C1CCC[C@@H]2C[C@@H](/C(O)=N\[C@@H]3C[C@](N)(n4c[nH+]n[nH+]4)Cc4ccccc43)OC(=O)[C@H]12,-9.6,300.0970584,0.719,(Gen_4_Cross_28879+Gen_4_Cross_285337)Gen_5_Cross_499504,Gen_5_Cross_499504,Gen_5_Cross_499504__5
ligand_22,-7.06162,0.472626,C[C@]1(C(=O)[N-][C@@H]2CCC[C@]3(n4cn[nH+]n4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,-9.6,328.1929187,0.782,(cmp58+cmp52_Frag_972268)Gen_1_Cross_65480,Gen_1_Cross_65480,Gen_1_Cross_65480__2
ligand_23,-7.11515,0.571435,C=c1cc(C)c2c(c1)C[C@](C)([C@H]1NCC[C@H]3CC[C@@H](c4cc(F)cc(F)c4C#N)C[C@H]31)OC=2C#N,-9.5,299.4716544,0.714,(Gen_3_Mutant_26_587463+Gen_4_Mutant_7_59603)Gen_5_Cross_172153,Gen_5_Cross_172153,Gen_5_Cross_172153__1
ligand_24,-7.16263,0.428431,C[C@@]1(C(=O)[N-][C@@H]2CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,-9.5,326.8760713,0.782,(Gen_4_Mutant_25_330040+Gen_3_Cross_442436)Gen_5_Cross_957525,Gen_5_Cross_957525,Gen_5_Cross_957525__3
ligand_25,-7.07374,0.536465,C=c1ccc2c(c1)C[C@](C)([C@H]1NCC[C@H]3CC[C@@H](c4cc(F)cc(F)c4C#N)C[C@H]31)OC=2C#N,-9.5,309.3904713,0.742,(Gen_4_Mutant_7_59603+Gen_4_Mutant_7_92566)Gen_5_Cross_458698,Gen_5_Cross_458698,Gen_5_Cross_458698__1
ligand_26,-7.21313,0.63844,C=c1ccc2c(c1)C[C@](C)([C@H]1[NH2+]CC[C@H]3CC[C@@H](c4cc(F)cc(F)c4C#N)C[C@H]31)OC=2C#N,-9.5,312.8167019,0.742,(Gen_4_Cross_816383+Gen_4_Mutant_7_59603)Gen_5_Cross_929784,Gen_5_Cross_929784,Gen_5_Cross_929784__2
ligand_27,-7.34646,0.422669,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-][C@@H]1CCC[C@@]3(n4c[nH+]n[nH+]4)CCCC[C@H]13)OC=2O,-9.5,303.6815381,0.762,(Gen_2_Mutant_66_13561+Gen_2_Cross_930346)Gen_3_Cross_764338,Gen_3_Cross_764338,Gen_3_Cross_764338__5
ligand_28,-8.20101,0.393763,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-]c1cccc(N3C/[N+](=C(/C#N)CF)NN3)c1)OC=2C#N,-9.4,322.2761484,0.673,(Gen_4_Cross_591879+Gen_4_Mutant_7_960914)Gen_5_Cross_514164,Gen_5_Cross_514164,Gen_5_Cross_514164__1
ligand_29,-7.4798,0.473751,C=c1cc(C)c2c(c1)C[C@@](C)(C(=O)N[C@@H]1CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@@H]13)OC=2C#N,-9.4,288.0300921,0.768,(Gen_3_Cross_138981)Gen_5_Mutant_7_317072,Gen_5_Mutant_7_317072,Gen_5_Mutant_7_317072__1
ligand_30,-7.06869,0.411856,C[C@]1(/C(O)=N/[C@@H]2CCC[C@]3(n4c[nH+]nn4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,-9.3,329.147253,0.782,(Gen_4_Cross_475221+Gen_3_Cross_788275)Gen_5_Cross_122381,Gen_5_Cross_122381,Gen_5_Cross_122381__2
